Date,始値,高値,安値,終値,調整後終値,売買高
2021-09-28,3850.0,3870.0,3805.0,3860.0,3795.74462890625,189500
2021-09-29,3780.0,3780.0,3720.0,3755.0,3719.47314453125,159300
2021-09-30,3740.0,3815.0,3735.0,3795.0,3759.0947265625,180400
2021-10-01,3780.0,3800.0,3720.0,3740.0,3704.614990234375,96200
2021-10-04,3775.0,3795.0,3730.0,3750.0,3714.5205078125,130800
2021-10-05,3700.0,3715.0,3640.0,3645.0,3610.513916015625,140000
2021-10-06,3650.0,3720.0,3600.0,3610.0,3575.844970703125,124700
2021-10-07,3630.0,3685.0,3595.0,3600.0,3565.939697265625,79200
2021-10-08,3460.0,3580.0,3425.0,3565.0,3531.270751953125,326400
2021-10-11,3540.0,3620.0,3510.0,3615.0,3580.797607421875,158700
2021-10-12,3600.0,3610.0,3565.0,3575.0,3541.176025390625,79800
2021-10-13,3600.0,3635.0,3590.0,3625.0,3590.703125,80100
2021-10-14,3625.0,3680.0,3625.0,3630.0,3595.65576171875,66700
2021-10-15,3690.0,3755.0,3680.0,3750.0,3714.5205078125,115300
2021-10-18,3760.0,3760.0,3650.0,3670.0,3635.27734375,82000
2021-10-19,3680.0,3730.0,3680.0,3695.0,3660.040771484375,59100
2021-10-20,3740.0,3780.0,3730.0,3760.0,3724.42578125,130200
2021-10-21,3735.0,3760.0,3705.0,3705.0,3669.946044921875,61200
2021-10-22,3695.0,3765.0,3695.0,3740.0,3704.614990234375,76100
2021-10-25,3735.0,3780.0,3735.0,3760.0,3724.42578125,164600
2021-10-26,3775.0,3785.0,3725.0,3755.0,3719.47314453125,97500
2021-10-27,3775.0,3800.0,3765.0,3780.0,3744.236572265625,69400
2021-10-28,3735.0,3775.0,3700.0,3750.0,3714.5205078125,121400
2021-10-29,3755.0,3835.0,3755.0,3820.0,3783.858154296875,114500
2021-11-01,3680.0,3785.0,3600.0,3715.0,3679.8515625,319600
2021-11-02,3680.0,3715.0,3550.0,3590.0,3556.0341796875,171900
2021-11-04,3660.0,3675.0,3625.0,3645.0,3610.513916015625,254100
2021-11-05,3645.0,3690.0,3640.0,3660.0,3625.371826171875,109600
2021-11-08,3630.0,3645.0,3575.0,3590.0,3556.0341796875,97000
2021-11-09,3600.0,3625.0,3580.0,3585.0,3551.08154296875,62500
2021-11-10,3550.0,3565.0,3520.0,3530.0,3496.601806640625,105300
2021-11-11,3520.0,3555.0,3510.0,3555.0,3521.365234375,63000
2021-11-12,3585.0,3655.0,3585.0,3640.0,3605.56103515625,78800
2021-11-15,3655.0,3675.0,3610.0,3635.0,3600.6083984375,73100
2021-11-16,3690.0,3710.0,3615.0,3615.0,3580.797607421875,69800
2021-11-17,3640.0,3645.0,3585.0,3595.0,3560.98681640625,72000
2021-11-18,3565.0,3595.0,3535.0,3535.0,3501.5546875,57200
2021-11-19,3535.0,3580.0,3520.0,3545.0,3511.4599609375,52400
2021-11-22,3525.0,3580.0,3525.0,3580.0,3546.12890625,44500
2021-11-24,3570.0,3570.0,3500.0,3500.0,3466.8857421875,53300
2021-11-25,3535.0,3550.0,3510.0,3515.0,3481.743896484375,36800
2021-11-26,3505.0,3505.0,3460.0,3470.0,3437.16943359375,53900
2021-11-29,3455.0,3510.0,3400.0,3460.0,3427.26416015625,80600
2021-11-30,3490.0,3560.0,3430.0,3440.0,3407.453369140625,128200
2021-12-01,3440.0,3460.0,3385.0,3390.0,3357.926513671875,66000
2021-12-02,3385.0,3415.0,3385.0,3385.0,3352.973876953125,97100
2021-12-03,3405.0,3485.0,3400.0,3480.0,3447.074951171875,110300
2021-12-06,3505.0,3550.0,3505.0,3535.0,3501.5546875,89000
2021-12-07,3580.0,3645.0,3565.0,3630.0,3595.65576171875,111100
2021-12-08,3695.0,3710.0,3635.0,3640.0,3605.56103515625,135500
2021-12-09,3650.0,3670.0,3630.0,3635.0,3600.6083984375,81500
2021-12-10,3655.0,3670.0,3635.0,3645.0,3610.513916015625,65500
2021-12-13,3700.0,3710.0,3645.0,3650.0,3615.466552734375,61400
2021-12-14,3665.0,3685.0,3635.0,3640.0,3605.56103515625,56100
2021-12-15,3625.0,3655.0,3595.0,3605.0,3570.892333984375,36400
2021-12-16,3615.0,3635.0,3600.0,3620.0,3585.75048828125,62000
2021-12-17,3610.0,3625.0,3545.0,3560.0,3526.318115234375,94700
2021-12-20,3545.0,3555.0,3465.0,3480.0,3447.074951171875,58300
2021-12-21,3540.0,3595.0,3515.0,3575.0,3541.176025390625,62000
2021-12-22,3580.0,3580.0,3530.0,3550.0,3516.41259765625,36600
2021-12-23,3595.0,3595.0,3520.0,3525.0,3491.649169921875,39000
2021-12-24,3530.0,3530.0,3490.0,3500.0,3466.8857421875,32700
2021-12-27,3500.0,3510.0,3470.0,3495.0,3461.93310546875,36100
2021-12-28,3500.0,3555.0,3500.0,3555.0,3521.365234375,56900
2021-12-29,3555.0,3585.0,3540.0,3580.0,3546.12890625,45700
2021-12-30,3565.0,3575.0,3530.0,3545.0,3511.4599609375,57900
2022-01-04,3615.0,3630.0,3540.0,3565.0,3531.270751953125,51600
2022-01-05,3580.0,3580.0,3460.0,3480.0,3447.074951171875,55800
2022-01-06,3460.0,3490.0,3425.0,3445.0,3412.406005859375,64700
2022-01-07,3480.0,3495.0,3410.0,3425.0,3392.59521484375,59100
2022-01-11,3440.0,3450.0,3400.0,3445.0,3412.406005859375,69300
2022-01-12,3475.0,3560.0,3455.0,3535.0,3501.5546875,111900
2022-01-13,3550.0,3585.0,3525.0,3535.0,3501.5546875,131300
2022-01-14,3495.0,3495.0,3435.0,3465.0,3432.216796875,94400
2022-01-17,3440.0,3500.0,3440.0,3495.0,3461.93310546875,36700
2022-01-18,3485.0,3505.0,3445.0,3455.0,3422.3115234375,49800
2022-01-19,3440.0,3450.0,3360.0,3370.0,3338.11572265625,89500
2022-01-20,3350.0,3445.0,3350.0,3420.0,3387.642578125,75700
2022-01-21,3375.0,3410.0,3340.0,3410.0,3377.7373046875,76500
2022-01-24,3370.0,3420.0,3355.0,3415.0,3382.68994140625,77400
2022-01-25,3365.0,3370.0,3310.0,3325.0,3293.54150390625,75000
2022-01-26,3290.0,3330.0,3280.0,3295.0,3263.8251953125,74100
2022-01-27,3295.0,3305.0,3150.0,3200.0,3169.72412109375,115400
2022-01-28,3230.0,3265.0,3205.0,3210.0,3179.62939453125,96100
2022-01-31,3200.0,3255.0,3195.0,3245.0,3214.29833984375,92900
2022-02-01,3240.0,3305.0,3210.0,3215.0,3184.582275390625,93200
2022-02-02,3495.0,3640.0,3455.0,3600.0,3565.939697265625,354500
2022-02-03,3600.0,3685.0,3550.0,3560.0,3526.318115234375,225200
2022-02-04,3680.0,3720.0,3615.0,3650.0,3615.466552734375,186900
2022-02-07,3685.0,3695.0,3600.0,3605.0,3570.892333984375,103300
2022-02-08,3625.0,3710.0,3625.0,3680.0,3645.1826171875,122800
2022-02-09,3700.0,3740.0,3675.0,3690.0,3655.088134765625,103600
2022-02-10,3785.0,3795.0,3740.0,3770.0,3734.331298828125,118400
2022-02-14,3635.0,3720.0,3595.0,3675.0,3640.22998046875,147300
2022-02-15,3680.0,3720.0,3635.0,3645.0,3610.513916015625,92800
2022-02-16,3700.0,3700.0,3640.0,3665.0,3630.32470703125,62000
2022-02-17,3660.0,3685.0,3570.0,3575.0,3541.176025390625,117900
2022-02-18,3515.0,3590.0,3515.0,3570.0,3536.223388671875,90900
2022-02-21,3500.0,3580.0,3450.0,3530.0,3496.601806640625,136700
2022-02-22,3465.0,3540.0,3460.0,3525.0,3491.649169921875,70900
2022-02-24,3475.0,3540.0,3475.0,3530.0,3496.601806640625,80300
2022-02-25,3530.0,3575.0,3495.0,3565.0,3531.270751953125,113700
